latitude,longitude,room_type,price,zipcode,zcta_housing_2020,total_units_2020,occupied_units_2020,vacant_units_2020,median_rooms_2020,owner_occupied_units_2020,rental_occupied_units_2020,median_value_2020,median_monthly_costs_2020,median_rent_2020,five_year_diff,total_units_2015,occupied_units_2015,vacant_units_2015,median_rooms_2015,owner_occupied_units_2015,rental_occupied_units_2015,median_value_2015,median_monthly_costs_2015,median_rent_2015,median_household_income_2020,median_family_income_2020,median_household_income_2015,median_family_income_2015,zipcount,class
40.00027,-82.78248,0,41,43004,43004,9919,9675.0,244,6.2,7619,2056,209300.0,1637.0,968,52700.0,9314.0,9074.0,240.0,5.9,6488.0,2586.0,156600.0,1481.0,865.0,84363.0,98576.0,66633.0,84675.0,7.0,2
39.97977,-83.00458,1,145,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.96911,-82.97719,1,94,43203,43203,4894,3758.0,1136,5.2,1224,2534,188900.0,1149.0,744,102500.0,4912.0,3429.0,1483.0,5.0,822.0,2607.0,86400.0,1200.0,623.0,36418.0,35137.0,20904.0,20208.0,79.0,0
39.93065,-83.17506,1,119,43119,43119,10728,10470.0,258,6.1,7790,2680,166800.0,1366.0,1063,31000.0,10416.0,9943.0,473.0,6.0,7004.0,2939.0,135800.0,1337.0,840.0,73299.0,87527.0,61410.0,66916.0,6.0,0
40.14285,-83.06266,0,89,43065,43065,15378,14927.0,451,8.0,13597,1330,348100.0,2283.0,1140,46100.0,14738.0,14113.0,625.0,8.0,12458.0,1655.0,302000.0,2164.0,1030.0,135179.0,150008.0,115542.0,129804.0,4.0,1
39.96938,-82.97235,1,138,43203,43203,4894,3758.0,1136,5.2,1224,2534,188900.0,1149.0,744,102500.0,4912.0,3429.0,1483.0,5.0,822.0,2607.0,86400.0,1200.0,623.0,36418.0,35137.0,20904.0,20208.0,79.0,0
40.09852,-82.96423,0,50,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
40.0953,-83.12019,1,155,43017,43017,16228,15377.0,851,7.1,10487,4890,371000.0,2461.0,1243,61000.0,14865.0,14255.0,610.0,7.4,10315.0,3940.0,310000.0,2187.0,1111.0,111250.0,133848.0,98023.0,112518.0,11.0,1
39.98711,-83.06753,0,60,43215,43215,10791,9609.0,1182,3.3,1891,7718,324000.0,1975.0,1215,69300.0,9281.0,8170.0,1111.0,3.3,1728.0,6442.0,254700.0,1975.0,920.0,64368.0,92708.0,52178.0,125239.0,245.0,1
40.02452,-83.03391,0,32,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
40.05428,-83.04824,0,38,43220,43220,13160,12475.0,685,5.4,6259,6216,355500.0,2139.0,1032,97900.0,12754.0,11857.0,897.0,5.6,6536.0,5321.0,257600.0,1720.0,864.0,70167.0,113666.0,60412.0,92072.0,10.0,1
39.98776,-83.02979,1,97,43212,43212,12485,11712.0,773,4.4,3950,7762,381300.0,2205.0,1151,111800.0,11156.0,9693.0,1463.0,4.5,3749.0,5944.0,269500.0,1879.0,861.0,66326.0,144167.0,58080.0,104098.0,61.0,1
39.98829,-83.0022,1,149,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
40.0599,-83.11814,0,64,43221,43221,14927,14190.0,737,6.3,10010,4180,306300.0,2055.0,1244,66700.0,13903.0,13150.0,753.0,6.6,9659.0,3491.0,239600.0,1816.0,1018.0,96233.0,119688.0,85095.0,105450.0,22.0,1
