id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35745409,June's Place: Private Basement Suite near Airport,13361292,John And Mel,,Northeast,40.00737,-82.85292,Private room,63,1,324,2022-09-09,8.19,1,122,119,
35916240,LUXE 4BR W/ OUTDOOR LIVING!,107290958,Joel,,Near North/University,39.98049,-83.01353,Entire home/apt,373,2,115,2022-09-11,2.90,6,342,40,2019-2198
35960532,I love helping people not banging money,270491639,Yenie,,Eastmoor/Walnut Ridge,39.93411,-82.91071,Shared room,35,30,0,,,1,0,0,
36103872,The House Hotels - Clintonville Crestview- Beautiful 3 Bedrooms - 5 Minutes to OSU ❤️🤍❤️,10031170,The House Hotels,,Clintonville,40.02266,-83.01165,Entire home/apt,133,2,58,2022-08-08,1.49,6,334,28,2019-2012
36103990,Hanford,10031170,The House Hotels,,Near South,39.93783,-82.99215,Entire home/apt,189,1,26,2020-03-15,0.68,6,0,0,2019-2013
36174639,Mohawk Masterpiece - German Village!,31798233,Sam,,Near South,39.945297,-82.992607,Entire home/apt,144,2,77,2022-09-06,1.98,4,145,23,2021-3252
36204248,Comfy Short North Studio Walk to Convention Center,235497311,Marc (TailwindSTR),,Near North/University,39.97833,-83.0035,Entire home/apt,106,1,189,2022-09-17,4.81,41,57,57,2019-2093
36237730,Rooster's Den - new build walkout basement suite,69084742,Ashley,,Near North/University,39.98463,-82.99792,Entire home/apt,126,1,169,2022-09-18,4.35,1,65,57,2019-2274
36302483,★ Caesar’s Palace ★ Old North Duplex near OSU★,90062227,Sam,,Near North/University,40.01439,-82.99686,Entire home/apt,177,2,16,2022-08-28,1.50,8,345,16,2021-3002
36302698,"★Easton Waterfront: Boat, Fish, Theatre, Barcade★",90062227,Sam,,North Linden,40.0241,-82.94086,Entire home/apt,292,1,193,2022-09-18,4.99,8,324,50,2021-3021
36339710,2BD/2BA Gahanna Apartment,47110817,Home Street,,Rocky Fork-Blacklick,40.05456,-82.84549,Entire home/apt,105,30,1,2019-09-27,0.03,1,0,0,
36346074,LUXELOFT High St ShortNorth Free Park RooftopPatio,160931077,Joy,,Near North/University,39.97467,-83.00347,Entire home/apt,168,1,205,2022-09-18,5.33,3,324,76,2019-2309
